AlgaeBloomReportID,UpdatedOn,CreatedOn,RegionalBoardID,CountyID,Latitude,Longitude,ObservationDate,HasPostedSigns,HasContactWithWater,WaterBodyType,WaterBodyName,WaterBodyManager,RecLandManager,IsIncidentResoloved,IncidentInformation,TypeofSign,OfficialWaterBodyName,BloomLastVerifiedOn,BloomDeterminedBy,ApprovedforPost
2506,12/17/2020 11:25,11:47.5,2,21,38.081791,-122.524,11/30/2020,Yes,Yes,,Bel Marin Keys Community Services District: North and South Lagoon,Bel Marin Keys Community Services District,,No,"On 12/16/20 report submitted describing a algae bloom at Bel Marin Keys, specifically the northern and southern lagoons. The water manager has collected samples for testing and distributed flyers to the residents to inform them of water conditions.",Caution,Bel Marin Keys north and south lagoons,11/30/2020,Observation,TRUE
2045,,46:51.1,8,36,34.2621062,-116.93094,7/31/2019,No,Yes,Lake/Reservoir,Big Bear Lake,Big Bear Municipal Water District,City of Big Bear Lake,No,"11/22/2019: The Regional Water Board issued press release stating that all Recreational health advisories are removed. This action is based on visual observations and results of water testing around the lake. 

8/22/19: Regional Water Board is coordinating posting of advisory signs near North Shore Drive extending ~0.5 miles west of the observatory and near the observatory. Note: the cyanobacteria bloom may move due to wind and water currents, please avoid contact with bright to dull green surface scum and algal mats.  Follow us on twitter for photos of the bloom: @CaWaterBoards

8/20/19: Water samples collected and tested. Cyanotoxins were detected at sites along the northern shoreline. Posting of danger advisory signs is recommended due to site indicators, cyanotoxins, and associated dog illness. 

7/31/19: Report of cyanobacteria bloom along northern shoreline and dog illness after water recreation. Regional Water Board staff are collecting water samples on 8/1/19. The extent of cyanobacteria bloom is not known at this time. Caution advisory signs are recommended along the northern shoreline recreation areas to advise children and dogs avoid discolored water and algal material. Local agencies and Water District are notified.",NONE,Big Bear Lake,8/20/2019,Both,TRUE
2309,8/28/2020 8:54,54:36.7,8,36,34.23884,-116.94974,7/9/2020,No,Yes,,Big Bear Lake - Boulder Bay,Big Bear Lake Municipal Water District,National Forestry Service,No,"8/28/2020-On August 19, 2020 Samples were taken by Waterboard Staff  at Boulder Bay, Pine Oak NB, Carol Morrison and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystin was detected at this location. Due to the concentrations of toxins and the visual observations made during the sampling event, staff recommends Caution signs be maintained.

07/09/2020-On July 9, 2020 Samples were taken by Waterboard Staff  at Mallard Lagoon, Boulder Bay, North Shore Landing, and two samples at Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystin was detected at this location. Due to the concentrations of toxins and the visual observations made during the sampling event, staff recommends Caution signs be posted.",CAUTION,Big Bear Lake-Boulder Bay,8/19/2020,Both,TRUE
2486,10/21/2020 10:58,53:49.8,8,36,34.25741,-116.95151,10/13/2020,No,No,,Big Bear Lake - Duane Boyer Boat Launch,Big Bear Municipal Water District,,No,"10/20/2020: On October 13, 2020, samples were taken by Waterboard Staff at Mallard Lagoon, Kidd Cove (Garstin Island), Duane Buyer Boat Launch, North Shore Drive, and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystins were detected at Duane Buyer Boat Launch. Due to the concentrations of toxins the Santa Ana Water Board recommends Caution signs be posted at Duane Buyer Boat Launch.",Caution,"Big Bear Lake, at Duane Boyer Boat Launch",10/13/2020,Both,TRUE
2307,10/21/2020 10:56,42:08.6,8,36,34.24829,-116.9293,7/9/2020,No,Yes,,Big Bear Lake - Mallard Lagoon,Big Bear Municipal Water District,National Forestry Service,No,"10/20/2020: On October 13, 2020, samples were taken by Waterboard Staff at Mallard Lagoon, Kidd Cove (Garstin Island), Duane Buyer Boat Launch, North Shore Drive, and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystins were detected at Mallard Lagoon. Due to the concentrations of toxins and the visual observations made during the sampling event, the Santa Ana Water Board recommends Caution signs be posted at Mallard Lagoon.

07/16/2020: On July 9, 2020 Samples were taken by Waterboard Staff at Mallard Lagoon, Boulder Bay, North Shore Landing, and two samples at Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystin toxins were present and Anatoxin-a was detected at Mallard Lagoon. The concentrations of toxins and the visual observations made during the sampling event indicate that Danger signs be posted at the access point of Mallard Lagoon.",Caution,"Big Bear Lake, at Mallard Lagoon",10/13/2020,Both,TRUE
2369,8/14/2020 15:29,20:49.1,8,36,34.24641,-116.94152,8/5/2020,No,Yes,,Big Bear lake - Metcalf Bay,,,No,"08/14/20: On August 5, 2020 Samples were taken by Waterboard Staff at Ski Beach Park, Metcalf Bay,  and North Shore Drive. Results show Microcystis bloom was present but cyanotoxins were not observed. Visual indicators of cyanobacteria are present at all locations. The sampling results and visual observations made during the sampling event indicate that Caution signs be posted.",CAUTION,Big Bear lake - Metcalf Bay,8/5/2020,BOTH,TRUE
2485,10/21/2020 11:01,44:15.8,8,36,34.2625,-116.93117,10/13/2020,No,No,,Big Bear Lake - North Shore Drive (Pipeline),,Big Bear Municipal Water District,No,"10/20/2020: On October 13, 2020, samples were taken by Waterboard Staff at Mallard Lagoon, Kidd Cove (Garstin Island), Duane Buyer Boat Launch, North Shore Drive, and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystins were detected at North Shore Drive. Due to the concentrations of toxins the Santa Ana Water Board recommends Warning signs be posted at North Shore Drive.",Warning,"Big Bear Lake, at North Shore Drive (Pipeline)",10/13/2020,Both,TRUE
2310,8/14/2020 15:28,05:06.4,8,36,34.25218,-116.95917,7/9/2020,No,Yes,,Big Bear Lake - North Shore Landing,Big Bear Lake Municipal Water District,National Forestry Service,No,"7/9/2020: On July 9, 2020 Samples were taken by Waterboard Staff  at Mallard Lagoon, Boulder Bay, North Shore Landing, and two samples at Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystin was detected at this location. Due to the concentrations of toxins and the visual observations made during the sampling event, staff recommends Caution signs be posted.",CAUTION,"Big Bear Lake, near North Shore Landing",,Both,TRUE
2370,8/14/2020 14:24,37:34.0,8,36,34.2482,-116.90466,8/5/2020,No,Yes,,Big Bear Lake - Ski Beach Park,,,No,"08/14/20: On August 8, 2020 Samples were taken by Waterboard Staff at Ski Beach Park, Metcalf Bay,  and North Shore Drive. Results show Microcystis bloom was present but cyanotoxins were not observed. Visual indicators of cyanobacteria are present at all locations. The sampling results and visual observations made during the sampling event indicate that Caution signs be posted.",CAUTION,Big Bear Lake - Ski Beach Park,8/8/2020,Both,TRUE
2340,10/21/2020 10:57,36:41.3,8,36,34.242635,-116.97172,7/25/2020,No,Yes,,Big Bear Lake Garstin Island,Big Bear Lake Water District,,No,"10/20/2020: On October 13, 2020, samples were taken by Waterboard Staff at Mallard Lagoon, Kidd Cove (Garstin Island), Duane Buyer Boat Launch, North Shore Drive, and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystins were detected at Kidd Cove (Garstin Island). Due to the concentrations of toxins the Santa Ana Water Board recommends Danger signs be maintained at Kidd Cove (Garstin Island).

08/14/20: On August 8, 2020 Samples were taken by Waterboard Staff at Kidd Cove (Garstin Island) and Stanfield Cutoff (2 samples per location). Visual indicators of cyanobacteria are present at all locations. Elevated microcystin toxins as well as Anatoxin were detected. The concentrations of toxins and the visual observations (scum accumulation near shore) made during the sampling event indicate that Danger signs be posted near northern and southern areas of Stanfield Cutoff and at Kidd Cove.

On 7/25/2020 report submitted observing cyanobacteria bloom and provided photos. The bloom appears as spilled paint and located in the lake by the dam and rocks used to jump into the waterbody from the island. Regional Water Board coordinating response and other areas nearby are also posted with advisories. Recommend avoiding water contact by children and dogs until further notice.",Danger,"Big Bear Lake, at Garstin Island (Treasure Island)",10/13/2020,Both,TRUE
2048,,42:24.2,8,36,34.2600851,-116.88489,7/1/2019,No,Yes,,"Big Bear Lake, CA",Big Bear Municipal Water District,City of Big Bear Lake,No,"11/22/2019: The Regional Water Board issued press release stating that all Recreational health advisories are removed. This action is based on visual observations and results of water testing around the lake. 

8/22/19: Regional Water Board is coordinating posting of advisory signs near Stanfield Cutoff and nearby trailhead. Note: the cyanobacteria bloom may move due to wind and water currents, please avoid contact with bright to dull green surface scum and algal mats.  Follow us on twitter for photos of the bloom: @CaWaterBoards

8/20/19: Water samples collected and tested. Cyanotoxins were detected at sites along the western side of Stanfield Cutoff. Posting of danger advisory signs is recommended due to site indicators and high concentration of microcystins. 

8/1/19: Report indicates that cyanobacteria bloom is also observed on the eastern end of the lake near Stanfield Cutoff. The bloom is causing a septic-like smell. Posting of caution signs is recommended.",NONE,"Big Bear Lake, near Stanfield Cutoff",8/20/2019,Both,TRUE
2491,11/6/2020 7:23,04:55.1,8,36,34.2615,-116.88802,10/23/2020,No,Yes,,"Big Bear Lake, Carol Morrison launch ramp",Big Bear Municipal Water District,US Forest Service,No,"11/06/2020-Santa Ana Regional Water Quality Control Board staff sampled at Big Bear Lake on October 29, 2020.  Samples were taken from Eagle Point, Carol Morrison, and the Eastside of the Solar Observatory. Lab results showed harmful algal blooms (HABs) occurring in Big Bear Lake. Due to visual indicators as well as the data results, the Santa Ana Regional Water Quality Control Board maintains the recommendation of a lake wide CAUTION advisory. However, the Danger advisories for Mallard Lagoon, Stanfield Cutoff, and Kidd Cove are still in effect as well as the Warning Advisory for North Shore.

On 10/25/2020, the Water Boards received a report of a potential dog illness at Carol Morrison boat ramp at  Big Bear Lake that occurred on 10/23. Several  Caution and Danger advisories are currently recommended at Big Bear Lake. Regional Board 8 will attempt to sample this week or next. This report will be updated as the Water Boards receives more information.",Caution,"Big Bear Lake, Carol Morrison boat ramp",10/29/2020,,TRUE
2311,10/21/2020 11:02,57:08.7,8,36,34.25915,-116.88439,7/9/2020,No,Yes,,"Big Bear Lake, near Stanfield Cutoff",Big Bear Municipal Water District,National Forestry Service,No,"10/20/2020: On October 13, 2020, samples were taken by Waterboard Staff at Mallard Lagoon, Kidd Cove (Garstin Island), Duane Buyer Boat Launch, North Shore Drive, and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystins were detected at Stanfield Cutoff. Due to the concentrations of toxins the Santa Ana Water Board recommends Danger signs be maintained at Stanfield Cutoff.

8/28/2020-On August 19, 2020 Samples were taken by Waterboard Staff  at Boulder Bay, Pine Oak NB, Carol Morrison and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Elevated microcystin toxins as well as Anatoxin were detected. The concentrations of toxins and the visual observations (scum accumulation near shore) made during the sampling event indicate that Danger signs be maintained.

08/14/20: On August 8, 2020 Samples were taken by Waterboard Staff at Kidd Cove (Garstin Island) and Stanfield Cutoff (2 samples per location). Visual indicators of cyanobacteria are present at all locations. Elevated microcystin toxins as well as Anatoxin were detected. The concentrations of toxins and the visual observations (scum accumulation near shore) made during the sampling event indicate that Danger signs be posted near northern and southern areas of Stanfield Cutoff and at Kidd Cove.

07/16/2020: On July 9, 2020 Samples were taken by Waterboard Staff at Mallard Lagoon, Boulder Bay, North Shore Landing, and two samples at Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Elevated microcystin toxins were detected at Stanfield Cutoff. The concentrations of toxins and the visual observations (scum accumulation near shore) made during the sampling event indicate that Warning signs be posted near northern and southern areas of Stanfield Cutoff.",Danger,"Big Bear Lake, near Stanfield Cutoff",10/13/2020,Both,TRUE
2405,8/28/2020 10:32,35:44.9,8,36,34.2615,-116.88802,8/19/2020,No,Yes,,Big Bear Lake-Carol Morrison,,,No,"8/28/2020: On August 19, 2020 Samples were taken by Waterboard Staff  at Boulder Bay, Pine Oak NB, Carol Morrison and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystins were detected at this location. Due to the concentrations of toxins and the visual observations made during the sampling event, Water Boards recommends Caution sign be posted.",Caution,Carol Morrison,8/19/2020,BOTH,TRUE
2498,11/6/2020 7:22,32:34.7,8,36,34.25069,-116.90392,10/29/2020,No,Yes,,Big Bear Lake-Eagle Point,,,No,"11/06/2020-Santa Ana Regional Water Quality Control Board staff sampled at Big Bear Lake on October 29, 2020.  Samples were taken from Eagle Point, Carol Morrison, and the Eastside of the Solar Observatory. Lab results showed harmful algal blooms (HABs) occurring in Big Bear Lake. Due to visual indicators as well as the data results, the Santa Ana Regional Water Quality Control Board maintains the recommendation of a lake wide CAUTION advisory. However, the Danger advisories for Mallard Lagoon, Stanfield Cutoff, and Kidd Cove are still in effect as well as the Warning Advisory for North Shore.",Caution,Big Bear Lake-Eagle Point,10/29/2020,Both,TRUE
2407,8/28/2020 10:33,41:16.2,8,36,,          ,8/20/2020,No,No,,Big Bear Lake-MWDL 9,,,No," 8/28/2020: On August 20, 2020 Samples were taken by Big Bear Lake Staff Staff  at MWDL  Limno Marker 9 and MWDL Limno Marker 9. Microcystins were detected at this location. Due to the concentrations of toxins and the visual observations made during the sampling event, Water Boards recommends lakewide Caution advisory be maintained.",CAUTION,Limno Marker 9,8/20/2020,Both,TRUE
2406,8/28/2020 10:33,38:57.5,8,36,34.25533,-116.9215,8/20/2020,No,No,,Big Bear Lake-MWDL6 ,,,No," 8/28/2020: On August 20, 2020 Samples were taken by Big Bear Lake Staff Staff  at MWDL  Limno Marker 9 and MWDL Limno Marker 9. Microcystins were detected at this location. Due to the concentrations of toxins and the visual observations made during the sampling event, Water Boards recommends lakewide Caution advisory be maintained.",Caution,Limno Marker 6,8/20/2020,Both,TRUE
2404,8/28/2020 10:31,31:54.9,8,36,34.24529,-116.97269,8/19/2020,No,Yes,,Big Bear Lake-Pine Oak North Beach,,,No,"8/28/2020: On August 19, 2020 Samples were taken by Waterboard Staff  at Boulder Bay, Pine Oak NB, Carol Morrison and Stanfield cutoff. Visual indicators of cyanobacteria are present at all locations. Microcystins were detected at this location. Due to the concentrations of toxins and the visual observations made during the sampling event, Water Boards recommends Caution signs be posted at this location.",Caution,Pine Oak North Beach,8/19/2020,Both,TRUE
2499,11/6/2020 7:19,40:42.0,8,36,34.25971,-116.92038,10/29/2020,No,No,,Big Bear Lake-Solar Observatory Eastside,,,No,"11/06/2020-Santa Ana Regional Water Quality Control Board staff sampled at Big Bear Lake on October 29, 2020.  Samples were taken from Eagle Point, Carol Morrison, and the Eastside of the Solar Observatory. Lab results showed harmful algal blooms (HABs) occurring in Big Bear Lake. Due to visual indicators as well as the data results, the Santa Ana Regional Water Quality Control Board maintains the recommendation of a lake wide CAUTION advisory. However, the Danger advisories for Mallard Lagoon, Stanfield Cutoff, and Kidd Cove are still in effect as well as the Warning Advisory for North Shore.",Caution,Big Bear Lake-Solar Observatory Eastside,10/29/2020,Both,TRUE
2521,1/15/2021 11:30,13:37.7,5,7,38.012339,-121.72854,1/6/2021,Yes,No,,Big Break Regional Shoreline,,"East Bay Regional Park District, 1-888-327-2757",No,"East Bay Regional Park District conducts routine cyanobacteria bloom monitoring at this lake or shoreline location. For more info, go to: https://www.ebparks.org/about/stewardship/water/cyanobacteria_(blue_green_algae)_updates.htm

The 2021 routine monitoring results are provided below:
------------------------------------------------------------------------------
On 1/13/21, no visible cyanobacteria were observed suspended in the water column around the rocks by the fishing pier. A sample was tested for Microcystins, using Abraxis CAAS, resulting in 0.32 ppb.

1/8/2021: On 1/6, no visible cyanobacteria observed around the fishing pier. A sample was tested for microcystins, using Abraxis CAAS, resulting in non-detect. Caution advisory continues.",Caution,Big Break Regional Shoreline,1/13/2021,Both,TRUE
